"  大禮堂
  Grand Auditorium",118,支 Bolt,43,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,A04,Anchor配件,,Bolt統計,路線狀態,日期,備註
"上龍脊
Upper Dragon Ridge",303,"上龍脊
Upper Dragon Ridge",5.7,傳攀 | Trad,100 m,,,"岩質極差，有鬆動岩塊與草坡， 不易架設⽀點。強烈建議配戴岩盔。
–
無 Anchor",●●●,,,,,,,,,,,,,,,,,,,No Anchor,No Anchor,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"南側
South Side",304,"龍脊左路
Dragon Ridge Left",5.4,傳攀 | Trad,33 m,,,"少數區塊岩質不穩
–
與 <龍脊中路> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,305,"龍脊中路
Dragon Ridge Center",5.5,傳攀 | Trad,33 m,,,少數區塊岩質不穩,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,已拉測,2019 / 04 / 17 (週三),"2011/04/15 - Anchor 更新為 316-TW (章醫師、小翔、一樵)
–
合格 - 8kN / 1 min / ×5次 (Maurice、Jam、阿振)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 15,2011 / 04 / 15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019 / 04 / 17,2019 / 04 / 17,,,,,,,,
,306,"龍脊右路
Dragon Ridge Right",5.6,傳攀 | Trad,33 m,,,"少數區塊岩質不穩
–
與 <龍脊中路> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,307,"垃圾斜板
Junk Slab",5.7,傳攀 | Trad,,,,路線上有⽼舊Bolt，請勿使⽤,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,待拉測,,"2011/04/15 - Anchor 更新為 316-TW (章醫師、小翔、一樵)
2024/08/10 – 切除 anchor 舊耳片 2 顆 (游健郎)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 15,2011 / 04 / 15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"大斜板
Great Slab",308,"三角關係
Two-timer",5.8,傳攀 | Trad,,,,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,待拉測,,2011/04/15 - Anchor 更新為 316-TW (章醫師、小翔、一樵)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 15,2011 / 04 / 15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,309,"小裂隙
Thin Crack",5.11c,傳攀 | Trad,,,,"部分岩點鬆動
–
與 <三角關係> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,310,"祕密開關
Secret Switch",5.10d,傳攀 | Trad,,,,與 <三角關係> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,311,"嬰兒之家
Womb",5.11a,傳攀 | Trad,,"美國岩友
Unknown U.S. Climber",,與 <三角關係> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,312,"面壁
Face the Wall",5.6,傳攀 | Trad,,,,可用 <三角關係> Anchor，或繼續上攀至更高的 Anchor (約60m高),●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,待拉測,,2011/04/15 - Anchor 更新為 316-TW (章醫師、小翔、一樵)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 15,2011 / 04 / 15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,313,"通道
Canaleta",5.4,傳攀 | Trad,,,,與 <三角關係> 或 <面壁> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314,"大斜板內角
Great Slab Dihedral",5.6,傳攀 | Trad,,,,無 Anchor,●●●,,,,,,,,,,,,,,,,,,,No Anchor,No Anchor,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.1,"左翼
Left Wing",5.10?,傳攀 | Trad,,"Ryan Keenan
—
Garrreth Bird
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.2,"臉部辨識
Facial Network",5.10?,傳攀 | Trad,,"Ryan Keenan
—
Garrreth Bird
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.3,"火辣登場
Coming in Hot",5.12a,傳攀 | Trad,,"Garrreth Bird
—
Ryan Keenan",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.4,"不知為不知
Unknown Unknowns",5.11?,傳攀 | Trad,,"Ryan Keenan
—
Gregory Kay
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.5,"就是很故意
Define: contrived",5.11?,傳攀 | Trad,,"Ryan Keenan
—
Garrreth Bird
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.6,"明顯很好爬
Obvious weakness",5.10b,傳攀 | Trad,,"Garrreth Bird
—
Ryan Keenan
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.7,"轟天雷
Big Thunder",5.11b,傳攀 | Trad,,"Ryan Keenan
—
Alix Morris
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.8,"王者雷電
King Lightning",5.10? R,傳攀 | Trad,,"Ryan Keenan
—
Alix Morris
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314.9,"猢猻耍猴戲
Barrel of Monkeys",5.10?,傳攀 | Trad,,"Garrreth Bird, Danger Zhang, Matthew Floch, and Ryan Keenan.
(FRA)",,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"西面
West Wall",0.00,"新設固定點
New Anchor",,,,,,"介於 <大斜板內角> 與 <菲律賓人普羅> 之間，可參考：
http://www.climbing.org/showthread.php?t=4245",●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,待拉測,,2011/04/15 - Anchor 更新為 316-TW (章醫師、小翔、一樵)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 15,2011 / 04 / 15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,315,"菲律賓人普羅 (舊：十字裂隙)
Puro Filippino (Cross Crack)",5.11b,傳攀 | Trad,55 m,,,與 <大懸岩> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,,0,待拉測,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,315.1,"O.P.P. 誰的鴿
(Other Peoples’ Pigeons)",5.11?,傳攀 | Trad,,"Garrreth Bird
—
Ryan Keenan
(FRA)",,"路線圖
Topo",●●●,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,316,"大懸岩 | P1
The Great Roof | P1",5.13b,傳攀 | Trad,30 m,Marcelo Berti Lungo,2010 / 08 / 24,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,已拉測,2020/10/24,"[Pulltest]20201024 全線測試,bolt已清點(泰山、老爹、Michael、小嵐)
2011/04/15 - Anchor 更新為 316-TW (章醫師、小翔、一樵)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 15,2011 / 04 / 15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 10 / 24,2020 / 10 / 24,,,,,,,,
,316.1,"大懸岩 | P2
The Great Roof | P2",5.13b,傳攀 | Trad,30 m,Marcelo Berti Lungo,2010 / 08 / 24,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,"4""吊帽","4""吊帽",靜力繩,垂降環-316,2,已更新,2020/10/24,"[Re-bolt]20201009 已切除舊吊帽*2 施工人員：阿郎、ZY 協助人員：宸安、庭安、震宇
[Pulltest]20201024 全線測試,bolt已清點(泰山、老爹、Michael、小嵐)
[Re-bolt]20201024 加裝一組靜力繩固定點
2011/04/15 - Anchor 更新為 316-TW (章醫師、小翔、一樵)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 15,2011 / 04 / 15,2019?,2019?,4m *2,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,2025 / 11 / 29,2025 / 11 / 29,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 10 / 24,2020 / 10 / 24,2021 / 10 / 09,2021 / 10 / 09,0 年,0 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025 / 11 / 29,2025 / 11 / 29,,,,,,,,
,317,"十
Ten",5.9,傳攀 | Trad,28 m,,,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,已拉測,2020/10/24,"[Pulltest]20201024 全線測試,bolt已清點(泰山、老爹、Michael、小嵐)
Anchor 安裝日期待查 (預設為1月1日)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 10 / 24,2020 / 10 / 24,,,,,,,,
,318,"自由裂隙 | P1
Freedom Crack | P1",5.8,傳攀 | Trad,25 m,,,,●●●,,,,,,,,,,,,,,,,,,,316-TW,316-TW,,,先不裝鋼環,,2,已拉測,2020/10/24,"[Pulltest]20201024 全線測試,bolt已清點(泰山、老爹、Michael、小嵐)
2011/04/02 - Anchor 更新為 316-TW (章醫師、阿國、一樵)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 / 04 / 02,2011 / 04 / 02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 / 10 / 24,2020 / 10 / 24,,,,,,,,
