"  後門
  Back Door",440,支 Bolt,105,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor 配件,,Bolt 統計,路線狀態,日期,備註
"地下一樓
B1",# 1,"ㄅ
Bo",5.7,抱石 | Boulder,5 m,,,,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 2,"ㄆ
Po",5.5,抱石 | Boulder,5 m,,,,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 3,"ㄇ
Mo",5.6,抱石 | Boulder,5 m,,,,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 4,"ㄈ
Fo",5.7,抱石 | Boulder,5 m,,,,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 5,"ㄉ
Do",5.8,抱石 | Boulder,5 m,,,,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 6,"ㄊ
To",5.10b,抱石 | Boulder,5 m,,,,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 7,"草帽大嫂
Grass Hat Sister-in-Law",5.6,傳攀 | Trad,18 m,"禤志剛
Laurence Huen",1991 / 05 / 26,無 Anchor，可步⾏返回起攀處,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 8,"老龍勃魯斯
Elder Dragon Blues",5.10a,上方架繩 | Toprope,7 m,"王世⿍
Jeff Wang",1991 / 05 / 26,無 Anchor,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 9,"南方岩角
Southern Arête",5.8,上方架繩 | Toprope,7 m,"禤志剛
Laurence Huen",1991 / 05 / 26,無 Anchor,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 10,"簡單內角
Eazy Dihedral",5.7,傳攀 | Trad,7 m,,,無 Anchor，可步⾏返回起攀處,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 11,"樓梯間
Under the Staircase",5.6,傳攀 | Trad,19 m,"Edgar Boehm
—
Dirk Saenger",1999 / 05 / 08,"原為運動攀登路線，移除⽼舊Bolt後改為上⽅架繩路線
–
無 Anchor，可步⾏返回起攀處",●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,304-EXP x7 | 13年 (由德國岩友設置)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 12,"超越巔峰
Into Thin Air",5.10c,上方架繩 | Toprope,19 m,"Edgar Boehm
—
Dirk Saenger",1999 / 05 / 08,"原為運動攀登路線，移除⽼舊Bolt後改為上⽅架繩路線
–
無 Anchor，可步⾏返回起攀處",●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,304-EXP x7 | 13年 (由德國岩友設置)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 13,"不要跌倒
Watch Your Step",5.11a,上方架繩 | Toprope,19 m,"Edgar Boehm
—
Dirk Saenger",1999 / 05 / 08,"原為運動攀登路線，移除⽼舊Bolt後改為上⽅架繩路線
–
無 Anchor，可步⾏返回起攀處",●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,304-EXP x7 | 13年 (由德國岩友設置)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 14,"後門人
Back Door Man",5.10c,傳攀 | Trad,19 m,,,無 Anchor，可步⾏返回起攀處,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 15,"黑到爆
Hell Night",5.12d,上方架繩 | Toprope,19 m,"朴來慶
Yum Yum",1996 / 08,無 Anchor，可步⾏返回起攀處,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 16,RCC,5.11d,上方架繩 | Toprope,19 m,"朴來慶
Yum Yum",1991 / 04 / 02,"RCC為早期「攀岩者俱樂部」的簡稱，由高銘和先生於1981年創辦
–
無 Anchor，可步⾏返回起攀處",●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,304-EXP x9 | 設置日期不詳 (設置者不詳)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 17,"蛋頭
Jeff",5.11a,傳攀 | Trad,19 m,"朴來慶
Yum Yum",1991 / 04 / 02,無 Anchor，可步⾏返回起攀處,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 18,"迴避
Sidestep",5.10a,傳攀 | Trad,19 m,"Edgar Boehm
—
Dirk Saenger",1999 / 05 / 08,"原為運動攀登路線，移除⽼舊Bolt後改為上⽅架繩路線
–
無 Anchor，可步⾏返回起攀處",●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,304-EXP x7 | 13年 (由德國岩友設置)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 19,"另一個懸岩
Another Overhang",5.9,傳攀 | Trad,19 m,,,無 Anchor，可步⾏返回起攀處,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 20,"蛋頭小裂隙
Jeff's RP Crack",5.10a,傳攀 | Trad,23 m,"王世⿍
Jeff Wang",,無 Anchor，可步⾏返回起攀處,●●●,,,,,,,,,,,,,,,,,,,無 Anchor,無 Anchor,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
