"  校門口
  School Gate",180,支 Bolt,51,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,Anchor 配件,,Bolt統計,路線狀態,日期,備註
"人面岩
Disco
Buttress",# 521,"電視人
Television Man",5.9,傳攀 | Trad,,,,"需自行架設確保站
再以 <V槽> 的 Anchor 垂降",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 522,"小生物煙囪
Little Creature Chimney",5.7,傳攀 | Trad,,,,"需自行架設確保站
再以 <V槽> 的 Anchor 垂降",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 523,"V槽
V-Groove",5.10b,運攀 | Sport,,,,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,316-TW,316-TW,梅隆鎖-316,垂降環-316,10,已拉測,2020 / 04 / 18 (週六),"2018/10/27 B01合格 - 8 kN / 1 min / ×5次 (老爹、小嵐、小魏)
2020/04/18 全線合格 - 8 kN / 1 min / ×5次 (小虎、Jam、Michael)"
,,,,,,,,,,2006 / 07 / 30,2006 / 07 / 30,2006 / 07 / 30,2006 / 07 / 30,2006 / 07 / 30,2006 / 07 / 30,2006 / 07 / 30,2006 / 07 / 30,,,,,,,,,,,2006 / 07 / 30,2006 / 07 / 30,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,19 年,19 年,19 年,19 年,19 年,19 年,19 年,19 年,,,,,,,,,,,19 年,19 年,2020 / 12 / 01,2020 / 12 / 01,,,,
,,,,,,,,,,2018 / 10 / 27,,,,,,,,,,,,,,,,,,,,5 年,5 年,,,,
,,,,,,,,,,2020 / 04 / 16,2020 / 04 / 16,2020 / 04 / 16,2020 / 04 / 16,2020 / 04 / 16,2020 / 04 / 16,2020 / 04 / 16,2020 / 04 / 16,,,,,,,,,,,2019 / 04 / 18,2019 / 04 / 18,,,,,,
,# 524,"無所不在
Man of Nowhere",5.11c,運攀 | Sport,,"傅抱仁 (傳統攀登)
Paul Foster (FTRA)",1988,與 <V槽> 共用 Anchor,●●●,共用,共用,共用,共用,共用,共用,共用,共用,,,,,,,,,,,共用,共用,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
