"  第二洞
  Second Cave",86,支 Bolt,51,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
"後院
Back Porch",# 194,"偉賓路線
Wei Bin's Route",5.11c,傳攀 | Trad,13 m,"朴來慶
Yum Yum",1995 / 06 / 03,,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,,Anchor 安裝日期待查 (預設為1月1日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 195,"無尾熊
Koala Bear",5.10d,傳攀 | Trad,,"吳彥儀
Yen-Yi Wu",,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,梅隆鎖-Ti,垂降環-鈦,2,已更新,2025 / 05 / 17 (週六),2025/05/17 設置錨栓固定點與配件 – Ti-U+梅隆鎖+垂降環 (阿郎)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025 / 05 / 17,2025 / 05 / 17,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 年,0 年,,2025 / 05 / 17,2025 / 05 / 17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 年,0 年,,,,
,# 196,"Yum Yum的高級作業
Yum Yum’s Hard Work",5.13b,傳攀 | Trad,15 m,"朴來慶
Yum Yum",1995 / 06 / 03,,●●●,,,,,,,,,,,,,,,,,,,Ti-ETN,Ti-ETN,,,,2,已更新,,Anchor 安裝日期待查 (預設為1月1日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 197,"歡樂後花園
Back Porch Saloon",5.12c,傳攀 | Trad,15 m,,,與 <Yum Yum的高級作業> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 198,"台灣當朋友
Taiwan Down Amigo",5.12c,傳攀 | Trad,15 m,Makoto Kokubun,1991 / 11 / 16,"岩質不穩
–
與 <Yum Yum的高級作業> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"陽光面
Sunshine Wall",# 199,"恐龍
Dinosaur",5.8,傳攀 | Trad,17 m,Rosie Morrison,2011 / 03,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,羊角-Ti,羊角-Ti,4,已拉測,2022 / 07 / 20 (週三),"[Pulltest]2022/07/20 - 8 kN / 1 min / ×5次 - 合格 (Fixe316，拉測人員：耿佑中、陳震宇)
[Pulltest]2016/07/23 - 8 kN / 1 min / ×5次 - 合格 (拉側人員待查) 
[報告] 20200718 top除了 U鈦外, 舊的Fixe316還存在 (老爹)
Anchor 安裝日期待查 (預設為1月1日) QX無記錄"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,,2016 ,2016 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,9 年,9 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,316-FX,316-FX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 / 07 / 20,2022 / 07 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 07 / 24,2016 / 07 / 24,,,,,,,
,# 200,"仙翁花
Ragged Robin",5.7,傳攀 | Trad,17 m,Rosie Morrison,2011 / 03,與 <恐龍> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 201,"奧德賽拂曉行動
Operation Odyssey Dawn",5.6,傳攀 | Trad,17 m,Wojtek Gierlotka,2011 / 03,與 <恐龍> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 202,"搖滾紫精靈
Purple People Eater",5.6,傳攀 | Trad,17 m,Alastair Dunbar,2011 / 03,與 <恐龍> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 203,"豔陽白日夢
Sunshine Daydream",5.8,傳攀 | Trad,23 m,,,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,羊角-Ti,羊角-Ti,4,已拉測,2022 / 07 / 20 (週三),"[Pulltest]2022/07/20 - 8 kN / 1 min / ×5次 - 合格 (Fixe316，拉測人員：耿佑中、陳震宇)
[Pulltest]2016/07/23 - 8 kN / 1 min / ×5次 - 合格 (拉側人員待查) 
[報告] 20200718 top除了 U鈦外, 舊的Fixe316還存在 (老爹)
Anchor 安裝日期待查 (預設為1月1日) QX無記錄"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,,2016 ,2016 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,9 年,9 年,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,316-FX,316-FX,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2011,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 年,14 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 / 07 / 20,2022 / 07 / 20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 07 / 24,2016 / 07 / 24,,,,,,,
,# 204,"向陽懸岩
Sunshine Overhang",5.9,傳攀 | Trad,23 m,"李世藩
Shih-Fan Li",1990 / 夏,"路線兩側岩質不穩
–
與 <豔陽白日夢> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"入口裂隙
Entrance Cracks",# 205,"裂嘴一笑
Crack a Smile",5.11c,傳攀 | Trad,12 m,"吳招坤
Jau-Kuen Wu",1998 / 10 / 31,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,,"[待查]不確定是否有留舊316*2
Anchor 安裝日期待查 (預設為1月1日)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2016,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 206,"榔頭時刻
Hammer Time",5.11c,傳攀 | Trad,12 m,,,與 <裂嘴一笑> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
