"  長巷
  Long Lane",183,支 Bolt,47,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
"佈告欄
Bulletin Board",# 421,"宇宙邊緣
Edge of the Universe",5.10d,傳攀 | Trad,24 m,,,可用 <天梯內角> 或 <白鯨記> 的 Anchor 垂降,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 422,"黑洞偏左
Black Hole Left",5.11a,傳攀 | Trad,24 m,,,可用 <天梯內角> 或 <白鯨記> 的 Anchor 垂降,●●●,,,,,,,,,,,,,,,,,,,待查,Ti-U,,待查,垂降環-鈦,2,已更新,2025 / 05 / 17 (週六),2025/05/17 設置錨栓固定點與配件 – Ti-U+梅隆鎖+垂降環 (阿郎)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025 / 05 / 17,2025 / 05 / 17,,,數量 x2 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 年,0 年,,2025 / 05 / 17,2025 / 05 / 17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 年,0 年,,,,
,# 423,"黑洞
Black Hole",5.11d,傳攀 | Trad,24 m,,,可與<黑洞偏左>共用，亦可用 <天梯內角> 或 <白鯨記> 的 Anchor 垂降,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 424,"天梯內角
Sky Ladder Dihedral",5.9,傳攀 | Trad,24 m,,,可用 <天梯內角> 或 <白鯨記> 的 Anchor 垂降,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 425,"倒走天梯 (舊：牛奶小子)
Sky Ladder (Milky Boy)",5.10b,運攀 | Sport,24 m,"王大濟
Ta-Chi Wang",,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,11,已拉測,2020 / 07 / 16 (週四),"[Pulltest]20200716 全線測試,bolt已清點(Jam 小虎)
316-TW 安裝日期待查 (預設為1月1日)
–
B01 合格 - 8kN / 1 min / ×5次 (阿郎、阿寶、小虎、嘉航、金龍、Jamy、秋玫、美菁、老爹)"
,,,,,,,,,,2005,2005,2005,2005,2005,2005,2005,2005,2005,,,,,,,,,,2005,2005,,數量 x2 ,數量 x2 ,,,,
,,,,,,,,,,20 年,20 年,20 年,20 年,20 年,20 年,20 年,20 年,20 年,,,,,,,,,,20 年,20 年,,2020 / 03,2020 / 03,,,,
,,,,,,,,,,2018 / 03 / 31,2020 / 07 / 16,2020 / 07 / 16,2020 / 07 / 16,2020 / 07 / 16,2020 / 07 / 16,2020 / 07 / 16,2020 / 07 / 16,2020 / 07 / 16,,,,,,,,,,2020 / 07 / 16,2020 / 07 / 16,,5 年,5 年,,,,
,# 426,"非想 (又名：八仙過海)
Inconceivable",5.11a,運攀 | Sport,22 m,"周俊明
Jun-Min Jou
—
吳彥儀
Yen-Yi Wu",,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,12,已拉測,2022 / 06 / 18 (週六),"[Pulltest]20220618 上半線測試,bolt已清點(Michael Marty Helen)
[Pulltest]20200720 全線測試,bolt已清點(Michael 阿振)
316-TW 安裝日期待查 (預設為1月1日)
–
B01 合格 - 8kN / 1 min / ×5次 (阿郎、阿寶、小虎、嘉航、金龍、Jamy、秋玫、美菁、老爹)"
,,,,,,,,,,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,,,,,,,,,2005,2005,,數量 x3 ,數量 x2 ,,,,
,,,,,,,,,,20 年,20 年,20 年,20 年,20 年,20 年,20 年,20 年,20 年,20 年,,,,,,,,,20 年,20 年,,2020 / 12,2020 / 12,,,,
,,,,,,,,,,,,,,,,2022 / 06 / 18,2022 / 06 / 18,2022 / 06 / 18,2022 / 06 / 18,,,,,,,,,2022 / 06 / 18,2022 / 06 / 18,,4 年,4 年,,,,
,,,,,,,,,,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,2020 / 07 / 20,,,,,,,,,2020 / 07 / 20,2020 / 07 / 20,,,,,,,
,,,,,,,,,,2018 / 03 / 31,,,,,,,,,,,,,,,,,,,,,另加鐵鍊 x4,,,,,
,# 427,"發想
Plausible",5.10b,運攀 | Sport,22 m,,,與 <非想> 共用 Anchor,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,共用,共用,共用,共用,,,,,,,,,,共用,共用,,,,5,已拉測,2022 / 06 / 18 (週六),"[Pulltest]20220618 全線測試,bolt已清點(Michael Marty Helen)
316-TW 安裝日期待查 (預設為1月1日)
–
B01 合格 - 8kN / 1 min / ×5次 (阿郎、阿寶、小虎、嘉航、金龍、Jamy、秋玫、美菁、老爹)"
,,,,,,,,,,2005,2005,2005,2005,2005,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,20 年,20 年,20 年,20 年,20 年,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2022 / 06 / 18,2022 / 06 / 18,2022 / 06 / 18,2022 / 06 / 18,2022 / 06 / 18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2018 / 03 / 31,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 428,"香蕉芭樂 (又名：犀牛角)
Guava Banana",5.11c,運攀 | Sport,23 m,"⿈百樂
Baile Huang
—
王⼤濟
Ta-Chi Wang",,,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,316-TW,316-TW,,梅隆鎖-316,垂降環-316,10,已拉測,2020 / 03 / 16 (週一),"316-TW 安裝日期待查 (預設為1月1日)
–
2018/03/31 - B01合格 - 阿郎、阿寶、小虎、嘉航、金龍、Jamy、秋玫、美菁、老爹
2020/03/16 - 全線合格 - 阿郎、小虎、阿振"
,,,,,,,,,,2005,2005,2005,2005,2005,2005,2005,2005,,,,,,,,,,,2005,2005,,數量 x2 ,數量 x2 ,,,,
