"  音樂廳
  Music Hall",153,支 Bolt,103,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
"破碎面
Broken Faces",# 329,"肥牛
Fat Cow",5.6,傳攀 | Trad,10 m,,,可步行下撤,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 330,"瘦馬
Skinny Horse",5.9,傳攀 | Trad,9 m,"吳招坤
Jau-Kuen Wu",,可步行下撤,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 331,"直上
Straight Up",5.12b,上方架繩 | Toprope,10 m,"朴來慶 (上方架繩)
Yum Yum (FTRA)",,可步行下撤,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 332,"最後懸岩
Last Overhang",5.11d,上方架繩 | Toprope,10 m,,,可步行下撤,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 333,"最後巨石
Last Huge Rock",5.7,傳攀 | Trad,10 m,,,可步行下撤,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 334,"曖昧
Indistinct",5.10c,傳攀 | Trad,10 m,,,可步行下撤,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 335,"鼻子裂隙
Nose Crack",5.9,傳攀 | Trad,13 m,,,可步行下撤,●●●,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 336,"第三隻鼻
The Third Nose",5.11d,傳攀 | Trad,13 m,"香港岩友
Danny Ng (HK)",,可步行下撤，或與 <直接嘗試> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 337,"破臉
Ti Spacco la Faccia",5.10c,傳攀 | Trad,13 m,,,與 <直接嘗試> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 338,"直接嘗試
Direct Attempt",5.11d,運攀 | Sport,16 m,,,原為上⽅架繩路線，2012更新為運攀路線,●●●,316-TW,316-TW,316-TW,316-TW,316-TW,316-TW,,,,,,,,,,,,,316-TW,316-TW,,,,8,已拉測,2020 / 03 / 19 (週四),"2012/07/18 - 全線更新 (章醫師、小翔、Daco)
–
2019/03/28 B01 合格 - 8kN / 1 min / ×5次 (小虎、Maurice、阿振)
2020/03/19 全線合格 - 8kN / 1 min / ×5次 (至堯、致華)"
,,,,,,,,,,2012 / 07 / 18,2012 / 07 / 18,2012 / 07 / 18,2012 / 07 / 18,2012 / 07 / 18,2012 / 07 / 18,,,,,,,,,,,,,2012 / 07 / 18,2012 / 07 / 18,,,,,,,
,,,,,,,,,,13 年,13 年,13 年,13 年,13 年,13 年,,,,,,,,,,,,,13 年,13 年,,,,,,,
,,,,,,,,,,2019 / 03 / 28,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2020 / 03 / 19,2020 / 03 / 19,2020 / 03 / 19,2020 / 03 / 19,2020 / 03 / 19,2020 / 03 / 19,,,,,,,,,,,,,2020 / 03 / 19,2020 / 03 / 19,,,,,,,
,# 339,"南西的嘗試
Nancy's Attempt",5.10b,運攀 | Sport,16 m,"朴來慶
Yum Yum",,"原為傳攀路線，2012更新為運攀路線
–
與 <直接嘗試> 共用 Anchor",●●●,316-TW,316-TW,316-TW,316-TW,共用,共用,,,,,,,,,,,,,共用,共用,,,,4,已拉測,2020 / 03 / 19 (週四),"2012/07/18 - 全線更新 (章醫師、小翔、Daco)
–
2019/03/28 B01 合格 - 8kN / 1 min / ×5次 (小虎、Maurice、阿振)
2020/03/19 全線合格 - 8kN / 1 min / ×5次 (至堯、致華)"
,,,,,,,,,,2012 / 07 / 18,2012 / 07 / 18,2012 / 07 / 18,2012 / 07 / 18,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13 年,13 年,13 年,13 年,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,2019 / 03 / 28,,,,,,,,,,,,,,,,,,,,,,,,,,
