"  黃金谷
  Golden Valley",282,支 Bolt,100,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
,# 101,"裙舞
Lap Dance",5.8,傳攀 | Trad,19 m,Matt Robertson,2004,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,2016 / 04 / 26 (週二),Anchor 更新為 Ti-TW x2 (慶鑫/QX)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 04 / 26,2016 / 04 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 102,"拉斯塔法里海鳥
Rastafarian Seabirds",5.9,傳攀 | Trad,19 m,Matt Robertson,2004,與 <裙舞> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 103,"危險遊戲
Dangerous Games",5.10c,傳攀 | Trad,19 m,Matt Robertson,2004 / 08 / 01,與 <裙舞> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 104,"潛行者
Stalker",5.9,傳攀 | Trad,19 m,Matt Robertson,2004,與 <裙舞> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 105,"殺人狂
Psycho Killer",5.11d,傳攀 | Trad,13 m,Matt Robertson,2005 / 04 / 09,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,2016 / 04 / 26 (週二),Anchor 更新為 Ti-TW x2 (慶鑫/QX)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 04 / 26,2016 / 04 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 106,"匏瓜抓狂
BA Insanity",5.10a,傳攀 | Trad,24 m,"蔡東昇
Bu-Ah",,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,2016 / 04 / 26 (週二),Anchor 更新為 Ti-TW x2 (慶鑫/QX)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 04 / 26,2016 / 04 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 107,"語言學家
Cunning Linguist",5.10c,傳攀 | Trad,13 m,,,,●●●,,,,,,,,,,,,,,,,,,,Ti-U,Ti-U,,,,2,已更新,2016 / 04 / 26 (週二),Anchor 更新為 Ti-TW x2 (慶鑫/QX)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 / 04 / 26,2016 / 04 / 26,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 108,"愛你久久
Love You Long Time",5.10c,傳攀 | Trad,13 m,,,與 <語言學家> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 109,"魚骨秀
Fillet Show",5.8,傳攀 | Trad,14 m,,,與 <語言學家> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 110,"快樂收場
Happy Endings",5.9,傳攀 | Trad,10 m,Stephen Parr,2004 / 07 / 24,與 <匏瓜抓狂> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 111,"貓的離場
The Cat’s Away",5.9,傳攀 | Trad,14 m,Matt Robertson,2004 / 07 / 24,與 <語言學家> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"伸展台
Catwalk",# 112,"貓戰
Catfight",5.10c,傳攀 | Trad,21 m,,,與 <語言學家> 共用 Anchor,●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
